,uid,guid,id,height,weight,age,position,jersey,salary,birthDate,headshot,FLName,experience,college,birthPlace,Team,hand
Marques Bolden,s:40~l:46~a:4065652,e5affcdca7cb786040276b1d2c7b4eaa,4065652,"6' 11""",250 lbs,22,C,24,0,04/17/98,https://a.espncdn.com/i/headshots/nba/players/full/4065652.png,Marques Bolden,1,Duke,"Dallas, TX",Cleveland Cavaliers,
Matthew Dellavedova,s:40~l:46~a:2489716,1a599a9bd48f41f6d3c6cb6730d431c3,2489716,"6' 3""",204 lbs,30,PG,18,"$1,620,564",09/08/90,https://a.espncdn.com/i/headshots/nba/players/full/2489716.png,Matthew Dellavedova,7,Saint Mary's,Australia,Cleveland Cavaliers,
Damyean Dotson,s:40~l:46~a:2991149,1b6ee6970611c759fcfd64ab1e60730a,2991149,"6' 5""",205 lbs,26,SG,21,"$2,000,000",05/06/94,https://a.espncdn.com/i/headshots/nba/players/full/2991149.png,Damyean Dotson,3,Houston,"Houston, TX",Cleveland Cavaliers,
Andre Drummond,s:40~l:46~a:6585,355269b721fc8104b40ed7c81ec96c9a,6585,"6' 11""",279 lbs,27,C,3,"$28,751,775",08/10/93,https://a.espncdn.com/i/headshots/nba/players/full/6585.png,Andre Drummond,8,Connecticut,"Mount Vernon, NY",Cleveland Cavaliers,B
Dante Exum,s:40~l:46~a:3102528,57104556fd32d3fba0c06aac09f6d133,3102528,"6' 5""",214 lbs,25,PG,1,"$9,600,000",07/13/95,https://a.espncdn.com/i/headshots/nba/players/full/3102528.png,Dante Exum,5,,Australia,Cleveland Cavaliers,L
Darius Garland,s:40~l:46~a:4396907,eb092265024f98407f49507cfcab5aab,4396907,"6' 1""",192 lbs,20,PG,10,"$6,720,720",01/26/00,https://a.espncdn.com/i/headshots/nba/players/full/4396907.png,Darius Garland,1,Vanderbilt,"Gary, IN",Cleveland Cavaliers,
Kevin Love,s:40~l:46~a:3449,802592a4e4466d2c7ca04d4f1e21424b,3449,"6' 8""",247 lbs,32,PF,0,"$31,258,256",09/07/88,https://a.espncdn.com/i/headshots/nba/players/full/3449.png,Kevin Love,12,UCLA,"Santa Monica, CA",Cleveland Cavaliers,
Thon Maker,s:40~l:46~a:4017843,e03196fc321dfe0c5217d364d48fce1d,4017843,"7' 0""",221 lbs,23,C,14,"$1,620,564",02/25/97,https://a.espncdn.com/i/headshots/nba/players/full/4017843.png,Thon Maker,4,,,Cleveland Cavaliers,
JaVale McGee,s:40~l:46~a:3452,98d52496d7a19d8dd9a8bbd1fc5e362d,3452,"7' 0""",270 lbs,32,C,6,"$4,200,000",01/19/88,https://a.espncdn.com/i/headshots/nba/players/full/3452.png,JaVale McGee,12,Nevada,"Flint, MI",Cleveland Cavaliers,
Isaac Okoro,s:40~l:46~a:4432822,7bcc7c59-2e9a-3729-b929-9f3c20682cd8,4432822,"6' 5""",225 lbs,19,SG,35,"$6,400,920",01/26/01,https://a.espncdn.com/i/headshots/nba/players/full/4432822.png,Isaac Okoro,0,Auburn,"Atlanta, GA",Cleveland Cavaliers,
Cedi Osman,s:40~l:46~a:3893016,be7138086bafa64b5818706e688bbd9f,3893016,"6' 7""",230 lbs,25,SF,16,"$8,840,580",04/08/95,https://a.espncdn.com/i/headshots/nba/players/full/3893016.png,Cedi Osman,3,,,Cleveland Cavaliers,
Collin Sexton,s:40~l:46~a:4277811,2a6515dd67707eac2141de08448a6905,4277811,"6' 1""",192 lbs,21,PG,2,"$4,991,880",01/04/99,https://a.espncdn.com/i/headshots/nba/players/full/4277811.png,Collin Sexton,2,Alabama,"Marietta, GA",Cleveland Cavaliers,R
Lamar Stevens,s:40~l:46~a:4066405,264b83ad92e0346f2818a3a436242f74,4066405,"6' 8""",225 lbs,23,PF,8,0,07/09/97,https://a.espncdn.com/i/headshots/nba/players/full/4066405.png,Lamar Stevens,0,Penn State,"Philadelphia, PA",Cleveland Cavaliers,
Dean Wade,s:40~l:46~a:3912848,cca4925251b9e1da48ac382f040cd2b4,3912848,"6' 9""",219 lbs,24,PF,32,"$1,517,981",11/20/96,https://a.espncdn.com/i/headshots/nba/players/full/3912848.png,Dean Wade,1,Kansas State,"Wichita, KS",Cleveland Cavaliers,
Dylan Windler,s:40~l:46~a:3906786,0e43f8d479f03cfe65c3c7629b9a7f96,3906786,"6' 6""",199 lbs,24,SG,9,"$2,137,440",09/22/96,https://a.espncdn.com/i/headshots/nba/players/full/3906786.png,Dylan Windler,0,Belmont,"Indianapolis, IN",Cleveland Cavaliers,
Saddiq Bey,s:40~l:46~a:4397136,9d4d1b0cee2f00e63d2c0d9b9d2f5d4b,4397136,"6' 8""",215 lbs,21,SG,41,"$2,689,920",04/09/99,https://a.espncdn.com/i/headshots/nba/players/full/4397136.png,Saddiq Bey,0,Villanova,"Charlotte, NC",Detroit Pistons,
Sekou Doumbouya,s:40~l:46~a:4423314,52e205c7d29c2a94462d83f440603d9e,4423314,"6' 8""",230 lbs,20,SF,45,"$3,449,400",12/23/00,https://a.espncdn.com/i/headshots/nba/players/full/4423314.png,Sekou Doumbouya,1,,,Detroit Pistons,
Wayne Ellington,s:40~l:46~a:3981,f949acb663824b8f848b00730ad25325,3981,"6' 4""",207 lbs,33,SG,8,"$1,620,564",11/29/87,https://a.espncdn.com/i/headshots/nba/players/full/3981.png,Wayne Ellington,11,North Carolina,"Wynnewood, PA",Detroit Pistons,
Jerami Grant,s:40~l:46~a:2991070,dc6db1badc618a7e647a83c10bb9f76f,2991070,"6' 8""",210 lbs,26,PF,9,"$19,050,000",03/12/94,https://a.espncdn.com/i/headshots/nba/players/full/2991070.png,Jerami Grant,6,Syracuse,"Portland, OR",Detroit Pistons,
Blake Griffin,s:40~l:46~a:3989,11228b90c481c822db3135ddfe61ab84,3989,"6' 10""",250 lbs,31,PF,23,"$36,810,996",03/16/89,https://a.espncdn.com/i/headshots/nba/players/full/3989.png,Blake Griffin,10,Oklahoma,"Oklahoma City, OK",Detroit Pistons,
Killian Hayes,s:40~l:46~a:4683024,e038f244-2824-3698-9da1-e0f98ab40724,4683024,"6' 5""",216 lbs,19,PG,7,"$5,307,120",07/27/01,https://a.espncdn.com/i/headshots/nba/players/full/4683024.png,Killian Hayes,0,,"Lakeland, FL",Detroit Pistons,
Frank Jackson,s:40~l:46~a:4065651,9d61df389905269d1b5b9228b3cf4172,4065651,"6' 3""",205 lbs,22,PG,5,,05/04/98,https://a.espncdn.com/i/headshots/nba/players/full/4065651.png,Frank Jackson,2,Duke,"Washington, DC",Detroit Pistons,
Josh Jackson,s:40~l:46~a:4066297,4a424db96174de4e1a519b83743821e3,4066297,"6' 8""",207 lbs,23,SF,20,"$4,767,000",02/10/97,https://a.espncdn.com/i/headshots/nba/players/full/4066297.png,Josh Jackson,3,Kansas,"San Diego, CA",Detroit Pistons,
Saben Lee,s:40~l:46~a:4278124,56b14678fdbb29ebba6ee3a00cc166c5,4278124,"6' 2""",183 lbs,21,PG,38,0,06/23/99,https://a.espncdn.com/i/headshots/nba/players/full/4278124.png,Saben Lee,0,Vanderbilt,,Detroit Pistons,
Rodney McGruder,s:40~l:46~a:2488826,1b4ce6f3b90e0278facabfa0eaa58f3d,2488826,"6' 4""",205 lbs,29,SG,17,"$5,192,307",07/29/91,https://a.espncdn.com/i/headshots/nba/players/full/2488826.png,Rodney McGruder,4,Kansas State,"Landover, MD",Detroit Pistons,
Svi Mykhailiuk,s:40~l:46~a:3133602,42c1431482abe530625f862388fee382,3133602,"6' 8""",205 lbs,23,SG,19,"$1,663,861",06/10/97,https://a.espncdn.com/i/headshots/nba/players/full/3133602.png,Svi Mykhailiuk,2,Kansas,Ukraine,Detroit Pistons,
Jahlil Okafor,s:40~l:46~a:3135048,a717327dd44ae4e504f378bc9cb8ccb1,3135048,"6' 11""",275 lbs,25,C,13,"$1,882,867",12/15/95,https://a.espncdn.com/i/headshots/nba/players/full/3135048.png,Jahlil Okafor,5,Duke,"Fort Smith, AR",Detroit Pistons,
Mason Plumlee,s:40~l:46~a:2488653,058a249e89295de15f074f1b4ba96a90,2488653,"6' 11""",254 lbs,30,C,24,"$8,000,000",03/05/90,https://a.espncdn.com/i/headshots/nba/players/full/2488653.png,Mason Plumlee,7,Duke,"Fort Wayne, IN",Detroit Pistons,
Derrick Rose,s:40~l:46~a:3456,c5594432c72be14dceab0caadd6fe342,3456,"6' 3""",200 lbs,32,PG,25,"$7,682,927",10/04/88,https://a.espncdn.com/i/headshots/nba/players/full/3456.png,Derrick Rose,11,Memphis,"Chicago, IL",Detroit Pistons,
Deividas Sirvydis,s:40~l:46~a:4423883,76e0c3ce1866b4ca91c01dfe097533b3,4423883,"6' 8""",190 lbs,20,SG,91,"$898,310",06/10/00,https://a.espncdn.com/combiner/i?img=/i/headshots/nophoto.png&w=200&h=146,Deividas Sirvydis,0,,Lithuania,Detroit Pistons,
Isaiah Stewart,s:40~l:46~a:4432810,85d20eec-daee-3fa1-9545-0011fb961cd8,4432810,"6' 9""",250 lbs,19,C,28,"$3,121,080",05/22/01,https://a.espncdn.com/i/headshots/nba/players/full/4432810.png,Isaiah Stewart,0,Washington,"Rochester, NY",Detroit Pistons,
Delon Wright,s:40~l:46~a:3064447,e2af91fa9c9ae951e887434ac068187b,3064447,"6' 5""",185 lbs,28,PG,55,"$9,000,000",04/26/92,https://a.espncdn.com/i/headshots/nba/players/full/3064447.png,Delon Wright,5,Utah,"Los Angeles, CA",Detroit Pistons,
Goga Bitadze,s:40~l:46~a:4348700,da823cfca5b0d5e844c819017b7cd254,4348700,"6' 11""",245 lbs,21,C,88,"$2,957,520",07/20/99,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,Goga Bitadze,1,,,Indiana Pacers,
Malcolm Brogdon,s:40~l:46~a:2566769,db29ba54f3bd2b6aebaebe0633291ab0,2566769,"6' 5""",229 lbs,28,PG,7,"$20,700,000",12/11/92,https://a.espncdn.com/i/headshots/nba/players/full/2566769.png,Malcolm Brogdon,4,Virginia,"Atlanta, GA",Indiana Pacers,
Aaron Holiday,s:40~l:46~a:3922230,83305275d4dadbb2ee85003cba53cd23,3922230,"6' 1""",185 lbs,24,PG,3,"$2,345,640",09/30/96,https://a.espncdn.com/i/headshots/nba/players/full/3922230.png,Aaron Holiday,2,UCLA,"Ruston, LA",Indiana Pacers,B
Justin Holiday,s:40~l:46~a:2284101,83420c020109914a7f116ec5cecf426b,2284101,"6' 6""",181 lbs,31,SG,8,"$5,720,000",04/05/89,https://a.espncdn.com/i/headshots/nba/players/full/2284101.png,Justin Holiday,7,Washington,"Mission Hills, CA",Indiana Pacers,
Jeremy Lamb,s:40~l:46~a:6603,56d5d9aeef2af6d59d68827057b3d555,6603,"6' 5""",185 lbs,28,SG,26,"$10,500,000",05/30/92,https://a.espncdn.com/i/headshots/nba/players/full/6603.png,Jeremy Lamb,8,Connecticut,,Indiana Pacers,
Jalen Lecque,s:40~l:46~a:4423887,cb3b4575da6f16c81bf391198c153726,4423887,"6' 3""",185 lbs,20,PG,0,"$1,517,981",06/13/00,https://a.espncdn.com/i/headshots/nba/players/full/4423887.png,Jalen Lecque,1,,"Manhattan, NY",Indiana Pacers,
Kelan Martin,s:40~l:46~a:3133596,dd4b50349e3eadf8ca8c1862aa4d2da1,3133596,"6' 5""",230 lbs,25,SG,21,"$1,445,697",08/03/95,https://a.espncdn.com/i/headshots/nba/players/full/3133596.png,Kelan Martin,1,Butler,"Louisville, KY",Indiana Pacers,
Doug McDermott,s:40~l:46~a:2528588,a0c3d73548472320d1115b2d023b4bed,2528588,"6' 8""",225 lbs,28,SF,20,"$7,333,333",01/03/92,https://a.espncdn.com/i/headshots/nba/players/full/2528588.png,Doug McDermott,6,Creighton,"Grand Forks, ND",Indiana Pacers,
Victor Oladipo,s:40~l:46~a:2527963,c398807055caf4c7989f435301d61d59,2527963,"6' 4""",210 lbs,28,SG,4,"$21,000,000",05/04/92,https://a.espncdn.com/i/headshots/nba/players/full/2527963.png,Victor Oladipo,7,Indiana,,Indiana Pacers,
Domantas Sabonis,s:40~l:46~a:3155942,c2eb1a1778092cc63fa77a5e63654ae4,3155942,"6' 11""",240 lbs,24,PF,11,"$19,800,000",05/03/96,https://a.espncdn.com/i/headshots/nba/players/full/3155942.png,Domantas Sabonis,4,Gonzaga,"Portland, OR",Indiana Pacers,
JaKarr Sampson,s:40~l:46~a:2608891,ad113c624ca260de61c7150368291ca4,2608891,"6' 9""",214 lbs,27,SF,14,"$1,620,564",03/20/93,https://a.espncdn.com/i/headshots/nba/players/full/2608891.png,JaKarr Sampson,5,St. John's,"Cleveland, OH",Indiana Pacers,
Cassius Stanley,s:40~l:46~a:4431686,633878e216b0ebd871c2127a66745397,4431686,"6' 6""",193 lbs,21,SG,2,0,08/18/99,https://a.espncdn.com/i/headshots/nba/players/full/4431686.png,Cassius Stanley,0,Duke,"Los Angeles, CA",Indiana Pacers,R
Edmond Sumner,s:40~l:46~a:3136485,1c24a71c12d57354ba17a5001e496258,3136485,"6' 6""",196 lbs,25,PG,5,"$2,160,000",12/31/95,https://a.espncdn.com/i/headshots/nba/players/full/3136485.png,Edmond Sumner,3,Xavier,"Detroit, MI",Indiana Pacers,
Myles Turner,s:40~l:46~a:3133628,a61d70b4d54433c83eb9aa6e5074f97e,3133628,"6' 11""",250 lbs,24,PF,33,"$18,000,000",03/24/96,https://a.espncdn.com/i/headshots/nba/players/full/3133628.png,Myles Turner,5,Texas,"Bedford, TX",Indiana Pacers,
Jaylen Adams,s:40~l:46~a:3133874,4f07027136b4f03a8579b42adb486081,3133874,"6' 2""",191 lbs,24,PG,6,"$1,416,852",05/04/96,https://a.espncdn.com/i/headshots/nba/players/full/3133874.png,Jaylen Adams,1,St. Bonaventure,"Baltimore, MD",Milwaukee Bucks,
Giannis Antetokounmpo,s:40~l:46~a:3032977,00985054c4b34247e825ddf062d457c3,3032977,"6' 11""",250 lbs,26,PF,34,"$27,528,090",12/06/94,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,Giannis Antetokounmpo,7,,Greece,Milwaukee Bucks,
Thanasis Antetokounmpo,s:40~l:46~a:3102533,3218b3eec26c996360e165a95d366853,3102533,"6' 6""",228 lbs,28,SF,43,"$1,701,593",07/18/92,https://a.espncdn.com/i/headshots/nba/players/full/3102533.png,Thanasis Antetokounmpo,2,,Greece,Milwaukee Bucks,
Pat Connaughton,s:40~l:46~a:2578239,d87adcb487364ba7a188250127546a89,2578239,"6' 5""",211 lbs,27,SG,24,"$4,938,272",01/06/93,https://a.espncdn.com/i/headshots/nba/players/full/2578239.png,Pat Connaughton,5,Notre Dame,"Arlington, MA",Milwaukee Bucks,
Torrey Craig,s:40~l:46~a:2528693,91a15f7d0a24cb150c4b0bb2ca44b791,2528693,"6' 7""",225 lbs,30,SF,3,"$1,620,564",12/19/90,https://a.espncdn.com/i/headshots/nba/players/full/2528693.png,Torrey Craig,3,USC Upstate,"Columbia, SC",Milwaukee Bucks,B
Donte DiVincenzo,s:40~l:46~a:3934673,a74f63531678ff6ecab1ed9cf5300189,3934673,"6' 4""",207 lbs,23,SG,0,"$3,044,160",01/31/97,https://a.espncdn.com/i/headshots/nba/players/full/3934673.png,Donte DiVincenzo,2,Villanova,"Newark, DE",Milwaukee Bucks,
Mamadi Diakite,s:40~l:46~a:3947156,949c7ec2e0039dfdc2d6bb64465ae056,3947156,"6' 9""",218 lbs,23,PF,25,0,01/21/97,https://a.espncdn.com/i/headshots/nba/players/full/3947156.png,Mamadi Diakite,0,Virginia,,Milwaukee Bucks,
Bryn Forbes,s:40~l:46~a:2994526,c3f0a4f22873213c3af4fa28b37b90b4,2994526,"6' 2""",207 lbs,27,SG,7,"$2,337,145",07/23/93,https://a.espncdn.com/i/headshots/nba/players/full/2994526.png,Bryn Forbes,4,Michigan State,"Lansing, MI",Milwaukee Bucks,
Jrue Holiday,s:40~l:46~a:3995,6694d3e67257f21735dcf6911488b9f1,3995,"6' 3""",229 lbs,30,SG,21,"$26,231,111",06/12/90,https://a.espncdn.com/i/headshots/nba/players/full/3995.png,Jrue Holiday,11,UCLA,"Mission Hills, CA",Milwaukee Bucks,
Brook Lopez,s:40~l:46~a:3448,3496fbc1fa88c3327f91f015006e0c8b,3448,"7' 0""",282 lbs,32,C,11,"$12,697,674",04/01/88,https://a.espncdn.com/i/headshots/nba/players/full/3448.png,Brook Lopez,12,Stanford,"North Hollywood, CA",Milwaukee Bucks,
Sam Merrill,s:40~l:46~a:4066757,a6c39d1a517fa8cf84e2d027e825ab82,4066757,"6' 4""",197 lbs,24,F,15,"$898,310",05/15/96,https://a.espncdn.com/i/headshots/nba/players/full/4066757.png,Sam Merrill,0,Utah State,"Salt Lake City, UT",Milwaukee Bucks,
Khris Middleton,s:40~l:46~a:6609,948da849027fed39e7eecc3bb48c620d,6609,"6' 7""",217 lbs,29,SF,22,"$33,051,724",08/12/91,https://a.espncdn.com/i/headshots/nba/players/full/6609.png,Khris Middleton,8,Texas A&M,"Charleston, SC",Milwaukee Bucks,
Jordan Nwora,s:40~l:46~a:4277883,4dc3aaf6572c5602354c315d41251b3d,4277883,"6' 8""",226 lbs,22,SF,13,"$898,310",09/09/98,https://a.espncdn.com/i/headshots/nba/players/full/4277883.png,Jordan Nwora,0,Louisville,"Buffalo, NY",Milwaukee Bucks,
Bobby Portis,s:40~l:46~a:3064482,2f914525c16fdef642dbf2a4c1d27502,3064482,"6' 10""",258 lbs,25,PF,9,"$3,623,000",02/10/95,https://a.espncdn.com/i/headshots/nba/players/full/3064482.png,Bobby Portis,5,Arkansas,"Little Rock, AR",Milwaukee Bucks,
Will Barton,s:40~l:46~a:6579,e8c90318261e5c78f07ab666de9c1ae0,6579,"6' 5""",181 lbs,29,SG,5,"$13,723,214",01/06/91,https://a.espncdn.com/i/headshots/nba/players/full/6579.png,Will Barton,8,Memphis,"Baltimore, MD",Denver Nuggets,
Bol Bol,s:40~l:46~a:4397102,ca22763a903c06cfdf6c571ba8c55dae,4397102,"7' 2""",209 lbs,21,C,10,"$2,058,240",11/16/99,https://a.espncdn.com/i/headshots/nba/players/full/4397102.png,Bol Bol,1,Oregon,Sudan,Denver Nuggets,
Facundo Campazzo,s:40~l:46~a:2968334,bf4f02ad7d0011df4ee12dc8d59b2108,2968334,"5' 11""",165 lbs,29,PG,7,"$3,200,000",03/23/91,https://a.espncdn.com/i/headshots/nba/players/full/2968334.png,Facundo Campazzo,0,,Argentina,Denver Nuggets,
Vlatko Cancar,s:40~l:46~a:4230557,eacea5f7c7fee0f06a31349553c9bae7,4230557,"6' 8""",236 lbs,23,SF,31,"$1,517,981",04/10/97,https://a.espncdn.com/i/headshots/nba/players/full/4230557.png,Vlatko Cancar,1,,Slovenia,Denver Nuggets,
PJ Dozier,s:40~l:46~a:3923250,c12f245c806352dedc58abaf000a2a81,3923250,"6' 6""",205 lbs,24,PG,35,"$1,762,796",10/25/96,https://a.espncdn.com/i/headshots/nba/players/full/3923250.png,PJ Dozier,3,South Carolina,"Columbia, SC",Denver Nuggets,
Gary Harris,s:40~l:46~a:2999547,80977674266a5c4a16a5f7efe9961fe0,2999547,"6' 4""",205 lbs,26,SG,14,"$19,610,714",09/14/94,https://a.espncdn.com/i/headshots/nba/players/full/2999547.png,Gary Harris,6,Michigan State,"Fishers, IN",Denver Nuggets,
Isaiah Hartenstein,s:40~l:46~a:4222252,1b8bb9099b5c2498030f1e5140c6eec8,4222252,"7' 0""",249 lbs,22,C,25,"$1,620,564",05/05/98,https://a.espncdn.com/i/headshots/nba/players/full/4222252.png,Isaiah Hartenstein,2,,"Eugene, OR",Denver Nuggets,
Markus Howard,s:40~l:46~a:4065805,f09d935616ad83593a46a7b9595eca02,4065805,"5' 11""",180 lbs,21,PG,00,0,03/03/99,https://a.espncdn.com/i/headshots/nba/players/full/4065805.png,Markus Howard,0,Marquette,"Morristown, NJ",Denver Nuggets,
Nikola Jokic,s:40~l:46~a:3112335,22f5751106ae1587f01b33965365ce0d,3112335,"7' 0""",284 lbs,25,C,15,"$29,542,010",02/19/95,https://a.espncdn.com/i/headshots/nba/players/full/3112335.png,Nikola Jokic,5,,,Denver Nuggets,
Paul Millsap,s:40~l:46~a:3015,a9c367e6c01d7822acb9e11a595abd7e,3015,"6' 7""",257 lbs,35,PF,4,"$1,000,000",02/10/85,https://a.espncdn.com/i/headshots/nba/players/full/3015.png,Paul Millsap,14,Louisiana Tech,"Monroe, LA",Denver Nuggets,
Monte Morris,s:40~l:46~a:3059310,5f7ea6e5937e1ab007f3f00cd895ee12,3059310,"6' 2""",183 lbs,25,PG,11,"$1,588,231",06/27/95,https://a.espncdn.com/i/headshots/nba/players/full/3059310.png,Monte Morris,3,Iowa State,"Grand Rapids, MI",Denver Nuggets,
Jamal Murray,s:40~l:46~a:3936299,153b92a9848974e3c5246527eb991e84,3936299,"6' 4""",215 lbs,23,PG,27,"$27,285,000",02/23/97,https://a.espncdn.com/i/headshots/nba/players/full/3936299.png,Jamal Murray,4,Kentucky,"Kitchener, ON",Denver Nuggets,
Zeke Nnaji,s:40~l:46~a:4431690,d69dedbe-c2c2-318a-a972-187a79ae0111,4431690,"6' 11""",240 lbs,19,PF,22,"$2,284,800",01/09/01,https://a.espncdn.com/i/headshots/nba/players/full/4431690.png,Zeke Nnaji,0,Arizona,"Minneapolis, MN",Denver Nuggets,
Malik Beasley,s:40~l:46~a:3907822,4e963496bb602e6e6db0b0b2da819023,3907822,"6' 4""",196 lbs,24,SG,5,"$13,425,895",11/26/96,https://a.espncdn.com/i/headshots/nba/players/full/3907822.png,Malik Beasley,4,Florida State,"Atlanta, GA",Minnesota Timberwolves,
Jarrett Culver,s:40~l:46~a:4277928,343415f5ba4d54328c23a0de18ca5855,4277928,"6' 6""",200 lbs,21,SG,23,"$6,104,280",02/20/99,https://a.espncdn.com/i/headshots/nba/players/full/4277928.png,Jarrett Culver,1,Texas Tech,"Dallas, TX",Minnesota Timberwolves,
Ed Davis,s:40~l:46~a:4259,8ce540bada41ea4956a540bb079933aa,4259,"6' 9""",222 lbs,31,F,17,"$5,005,350",06/05/89,https://a.espncdn.com/i/headshots/nba/players/full/4259.png,Ed Davis,10,North Carolina,"Washington, DC",Minnesota Timberwolves,
Anthony Edwards,s:40~l:46~a:4594268,a2edb458-a371-3fba-ba5a-b24dd2fd2d9e,4594268,"6' 5""",229 lbs,19,SG,1,"$9,757,440",08/05/01,https://a.espncdn.com/i/headshots/nba/players/full/4594268.png,Anthony Edwards,0,Georgia,"Atlanta, GA",Minnesota Timberwolves,L
Ashton Hagans,s:40~l:46~a:4395722,9df030a3c75bbee5de2f18226138b4e5,4395722,"6' 3""",193 lbs,21,PG,22,0,07/08/99,https://a.espncdn.com/i/headshots/nba/players/full/4395722.png,Ashton Hagans,0,Kentucky,"Cartersville, GA",Minnesota Timberwolves,
Juancho Hernangomez,s:40~l:46~a:4017839,bb4390fb76cd2f8189cf158d98d39ad3,4017839,"6' 9""",215 lbs,25,PF,41,"$6,493,000",09/28/95,https://a.espncdn.com/i/headshots/nba/players/full/4017839.png,Juancho Hernangomez,4,,Spain,Minnesota Timberwolves,
Jake Layman,s:40~l:46~a:2982268,1a2ccb0dbcce546d7b4a69818851c7d1,2982268,"6' 8""",212 lbs,26,SF,10,"$3,761,085",03/07/94,https://a.espncdn.com/i/headshots/nba/players/full/2982268.png,Jake Layman,4,Maryland,"Norwood, MA",Minnesota Timberwolves,
Jaden McDaniels,s:40~l:46~a:4431671,b7a78718-3dc4-395f-bbc5-dc5477126c1d,4431671,"6' 9""",192 lbs,20,PF,3,"$1,964,760",09/29/00,https://a.espncdn.com/i/headshots/nba/players/full/4431671.png,Jaden McDaniels,0,Washington,"Federal Way, WA",Minnesota Timberwolves,B
Jordan McLaughlin,s:40~l:46~a:3134916,e1d2e36a3b3fce76d98e476fabd4add9,3134916,"5' 11""",185 lbs,24,PG,6,0,04/09/96,https://a.espncdn.com/i/headshots/nba/players/full/3134916.png,Jordan McLaughlin,1,USC,"Pasadena, CA",Minnesota Timberwolves,
Jaylen Nowell,s:40~l:46~a:4278541,e2bca5e9c0ecb5334f6c95e33d937777,4278541,"6' 4""",197 lbs,21,SG,4,"$1,517,981",07/09/99,https://a.espncdn.com/i/headshots/nba/players/full/4278541.png,Jaylen Nowell,1,Washington,"Seattle, WA",Minnesota Timberwolves,
Josh Okogie,s:40~l:46~a:4065663,d48af5178b3f1f26ad6b688b2de84fb4,4065663,"6' 4""",220 lbs,22,G,20,"$2,651,040",09/01/98,https://a.espncdn.com/i/headshots/nba/players/full/4065663.png,Josh Okogie,2,Georgia Tech,Nigeria,Minnesota Timberwolves,
Naz Reid,s:40~l:46~a:4396971,f8d497e7586c2aa74da13af638ca26e1,4396971,"6' 9""",250 lbs,21,C,11,"$1,517,981",08/26/99,https://a.espncdn.com/i/headshots/nba/players/full/4396971.png,Naz Reid,1,LSU,"Asbury Park, NJ",Minnesota Timberwolves,
Ricky Rubio,s:40~l:46~a:4011,0256cef5f8a76e8a7c1f0400129dd4dd,4011,"6' 3""",199 lbs,30,PG,9,"$17,000,000",10/21/90,https://a.espncdn.com/i/headshots/nba/players/full/4011.png,Ricky Rubio,9,,Spain,Minnesota Timberwolves,
Jarred Vanderbilt,s:40~l:46~a:4278077,888ccde398d46ef8c697d6a4ce158f87,4278077,"6' 8""",214 lbs,21,PF,8,"$1,663,361",04/03/99,https://a.espncdn.com/i/headshots/nba/players/full/4278077.png,Jarred Vanderbilt,2,Kentucky,"Houston, TX",Minnesota Timberwolves,
Trevor Ariza,s:40~l:46~a:2426,60b70b192f0ace9fc73c119a06adc631,2426,"6' 8""",215 lbs,35,SF,8,"$12,800,000",06/30/85,https://a.espncdn.com/i/headshots/nba/players/full/2426.png,Trevor Ariza,16,UCLA,"Miami, FL",Oklahoma City Thunder,
Darius Bazley,s:40~l:46~a:4423545,dc51779c0f1a03c8f807c7916c852c77,4423545,"6' 8""",208 lbs,20,SF,7,"$2,339,160",06/12/00,https://a.espncdn.com/i/headshots/nba/players/full/4423545.png,Darius Bazley,1,,"Boston, MA",Oklahoma City Thunder,
Moses Brown,s:40~l:46~a:4397126,fda5f791c73e010f8810bebc2627680b,4397126,"7' 1""",245 lbs,21,C,9,0,10/13/99,https://a.espncdn.com/i/headshots/nba/players/full/4397126.png,Moses Brown,1,UCLA,,Oklahoma City Thunder,
Hamidou Diallo,s:40~l:46~a:4080610,4d118512df3316dab2b668efb4119ecb,4080610,"6' 5""",202 lbs,22,SG,6,"$1,416,852",07/31/98,https://a.espncdn.com/i/headshots/nba/players/full/4080610.png,Hamidou Diallo,2,Kentucky,"Queens, NY",Oklahoma City Thunder,
Luguentz Dort,s:40~l:46~a:4397020,7f199b6758d7790d458c29e62293032b,4397020,"6' 4""",215 lbs,21,SG,5,"$1,517,981",04/19/99,https://a.espncdn.com/i/headshots/nba/players/full/4397020.png,Luguentz Dort,1,Arizona State,Canada,Oklahoma City Thunder,
Josh Hall,s:40~l:46~a:4433157,97be6540-d614-3a8e-ae48-063be4908756,4433157,"6' 8""",200 lbs,20,SF,15,0,10/08/00,https://a.espncdn.com/i/headshots/nba/players/full/4433157.png,Josh Hall,0,,"Greenville, NC",Oklahoma City Thunder,
George Hill,s:40~l:46~a:3438,abbae422d49b1fd68bde67f49bfa6043,3438,"6' 3""",187 lbs,34,PG,3,"$9,590,602",05/04/86,https://a.espncdn.com/i/headshots/nba/players/full/3438.png,George Hill,12,IUPUI,"Indianapolis, IN",Oklahoma City Thunder,B
Al Horford,s:40~l:46~a:3213,b79dd16a5d4bd7049b0ceaa9ec3df217,3213,"6' 9""",240 lbs,34,C,42,"$27,500,000",06/03/86,https://a.espncdn.com/i/headshots/nba/players/full/3213.png,Al Horford,13,Florida,Dominican Republic,Oklahoma City Thunder,
